cluster,visit_count,average_duration,latitude,longitude,label
0,10,1779.3463949999998,38.0403836,-78.4758293,Place_38.040_-78.476
1,5,1787.1146033333334,38.033574,-78.5064228,Place_38.034_-78.506
2,5,2319.3435066666666,38.0292122,-78.5087492,Place_38.029_-78.509
3,5,1975.6769833333333,38.029899,-78.509259,Place_38.030_-78.509
